original_review,cleaned_review,tokens,sentiment
"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",try cape cod ravoli chicken cranberrymmmm,try cape cod ravoli chicken cranberrymmmm,1
That's right....the red velvet cake.....ohhh this stuff is so good.,thats rightthe red velvet cakeohhh stuff good,thats rightthe red velvet cakeohhh stuff good,1
The waiters were impolite and seemed disinterested.,waiter impolite seem disinterested,waiter impolite seem disinterested,0
The food had a perfect balance of spices and flavors.,food perfect balance spice flavor,food perfect balance spice flavor,1
The portions were generous and left us feeling satisfied.,portion generous leave feel satisfy,portion generous leave feel satisfy,1
The utensils and tableware were dirty.,utensil tableware dirty,utensil tableware dirty,0
The restaurant had limited choices for vegetarians and vegans.,restaurant limit choice vegetarian vegan,restaurant limit choice vegetarian vegan,0
The staff was professional and provided excellent service.,staff professional provided excellent service,staff professional provided excellent service,1
The WORST EXPERIENCE EVER.,bad experience ever,bad experience ever,0
Food was really boring.,food really boring,food really boring,0
Waitress was a little slow in service.,waitress little slow service,waitress little slow service,0
The service was excellent and attentive.,service excellent attentive,service excellent attentive,1
The service was poor and thats being nice.,service poor thats nice,service poor thats nice,0
The seafood was fresh and generous in portion.,seafood fresh generous portion,seafood fresh generous portion,1
The restaurant had a cozy and welcoming atmosphere.,restaurant cozy welcoming atmosphere,restaurant cozy welcoming atmosphere,1
Google mediocre and I imagine Smashburger will pop up.,google mediocre imagine smashburger pop,google mediocre imagine smashburger pop,0
"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",good thing waiter helpful keep bloddy mary come,good thing waiter helpful keep bloddy mary come,1
The only thing I did like was the prime rib and dessert section.,thing like prime rib dessert section,thing like prime rib dessert section,1
The food was too salty and overly seasoned.,food salty overly season,food salty overly season,0
The Veggitarian platter is out of this world!,veggitarian platter world,veggitarian platter world,1
Everything was good and tasty!,everything good tasty,everything good tasty,1
The ambiance isn't much better.,ambiance not much good,ambiance not much good,0
"That just SCREAMS ""LEGIT"" in my book...somethat's also pretty rare here in Vegas.",screams legit booksomethats also pretty rare vega,screams legit booksomethats also pretty rare vega,1
The service here leaves a lot to be desired.,service leave lot desire,service leave lot desire,0
The staff was rude and unhelpful.,staff rude unhelpful,staff rude unhelpful,0
If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?,someone order two taco not think may part customer service ask combo ala cart,someone order two taco not think may part customer service ask combo ala cart,0
The worst was the salmon sashimi.,bad salmon sashimi,bad salmon sashimi,0
(The bathroom is just next door and very nice.),bathroom next door nice,bathroom next door nice,1
The service was meh.,service meh,service meh,0
Eclectic selection.,eclectic selection,eclectic selection,1
"Anyway, this FS restaurant has a wonderful breakfast/lunch.",anyway restaurant wonderful breakfastlunch,anyway restaurant wonderful breakfastlunch,1
I've had better atmosphere.,ive well atmosphere,ive well atmosphere,0
"Probably never coming back, and wouldn't recommend it.",probably never come back would not recommend,probably never come back would not recommend,0
The waiters were friendly and offered exceptional service.,waiter friendly offer exceptional service,waiter friendly offer exceptional service,1
The restaurant had a cozy and inviting atmosphere.,restaurant cozy inviting atmosphere,restaurant cozy inviting atmosphere,1
The food had an odd and unpleasant aftertaste.,food odd unpleasant aftertaste,food odd unpleasant aftertaste,0
"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",great subway fact good come every subway not meet expectation,great subway fact good come every subway not meet expectation,1
The food had a weird aftertaste.,food weird aftertaste,food weird aftertaste,0
They know how to make them here.,know make,know make,1
But I don't like it.,not like,not like,0
This is one of the best bars with food in Vegas.,one best bar food vega,one best bar food vega,1
It was just not a fun experience.,not fun experience,not fun experience,1
From what my dinner companions told me...everything was very fresh with nice texture and taste.,dinner companion tell meeverything fresh nice texture taste,dinner companion tell meeverything fresh nice texture taste,1
When I received my Pita it was huge it did have a lot of meat in it so thumbs up there.,receive pita huge lot meat thumb,receive pita huge lot meat thumb,1
Con: spotty service.,con spotty service,con spotty service,0
The staff was unhelpful and didn't accommodate our needs.,staff unhelpful not accommodate need,staff unhelpful not accommodate need,0
"The restaurant had poor acoustics, making it noisy.",restaurant poor acoustic make noisy,restaurant poor acoustic make noisy,0
"The food sucked, which we expected but it sucked more than we could have imagined.",food suck expect suck could imagine,food suck expect suck could imagine,0
Food was great and so was the serivce!,food great serivce,food great serivce,1
I promise they won't disappoint.,promise not disappoint,promise not disappoint,1
The food was a gastronomic delight with its unique flavors.,food gastronomic delight unique flavor,food gastronomic delight unique flavor,1
Very disappointing!!!,disappointing,disappointing,0
"All in all an excellent restaurant highlighted by great service, a unique menu, and a beautiful setting.",excellent restaurant highlight great service unique menu beautiful setting,excellent restaurant highlight great service unique menu beautiful setting,1
The food was tasteless and lacked seasoning or spices.,food tasteless lacked seasoning spice,food tasteless lacked seasoning spice,0
So we went to Tigerlilly and had a fantastic afternoon!,go tigerlilly fantastic afternoon,go tigerlilly fantastic afternoon,1
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,cashier no care ever say still end wayyy overprice,cashier no care ever say still end wayyy overprice,0
"Nice, spicy and tender.",nice spicy tender,nice spicy tender,1
2 Thumbs Up!!,thumb,thumb,1
The restaurant had dirty and unkempt facilities.,restaurant dirty unkempt facility,restaurant dirty unkempt facility,0
Tasted like dirt.,taste like dirt,taste like dirt,0
We were sat right on time and our server from the get go was FANTASTIC!,sat right time server get go fantastic,sat right time server get go fantastic,1
The only downside is the service.,downside service,downside service,0
It's worth driving up from Tucson!,worth drive tucson,worth drive tucson,1
We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.,weve get much good service pizza place next door service receive restaurant,weve get much good service pizza place next door service receive restaurant,0
For that price I can think of a few place I would have much rather gone.,price think place would much rather go,price think place would much rather go,0
We aren't ones to make a scene at restaurants but I just don't get it...definitely lost the love after this one!,not one make scene restaurant not get itdefinitely lose love one,not one make scene restaurant not get itdefinitely lose love one,0
The restaurant had dirty menus and neglected cleanliness.,restaurant dirty menu neglect cleanliness,restaurant dirty menu neglect cleanliness,0
Great brunch spot.,great brunch spot,great brunch spot,1
Food was average at best.,food average best,food average best,0
"Main thing I didn't enjoy is that the crowd is of older crowd, around mid 30s and up.",main thing not enjoy crowd old crowd around mid,main thing not enjoy crowd old crowd around mid,0
The restaurant had uncomfortable seating and cramped tables.,restaurant uncomfortable seating cramp table,restaurant uncomfortable seating cramp table,0
The bus boy on the other hand was so rude.,bus boy hand rude,bus boy hand rude,0
The prices were exorbitant for the quality.,price exorbitant quality,price exorbitant quality,0
"We had fantastic service, and were pleased by the atmosphere.",fantastic service please atmosphere,fantastic service please atmosphere,1
An excellent new restaurant by an experienced Frenchman.,excellent new restaurant experienced frenchman,excellent new restaurant experienced frenchman,1
The sweet potato fries were very good and seasoned well.,sweet potato fry good season well,sweet potato fry good season well,1
"The chains, which I'm no fan of, beat this place easily.",chain im no fan beat place easily,chain im no fan beat place easily,0
The waiters kept forgetting our orders.,waiter keep forget order,waiter keep forget order,0
You won't be disappointed.,not disappoint,not disappoint,1
Won't go back.,not go back,not go back,0
I recently tried Caballero's and I have been back every week since!,recently try caballeros back every week since,recently try caballeros back every week since,1
The staff lacked professionalism and manners.,staff lack professionalism manner,staff lack professionalism manner,0
"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",side delish mixed mushroom yukon gold puree white corn beateous,side delish mixed mushroom yukon gold puree white corn beateous,1
It was awesome.,awesome,awesome,1
The food was stale and seemed old.,food stale seem old,food stale seem old,0
The service was extremely slow and inattentive.,service extremely slow inattentive,service extremely slow inattentive,0
You cant go wrong with any of the food here.,cant go wrong food,cant go wrong food,1
Honeslty it didn't taste THAT fresh.,honeslty not taste fresh,honeslty not taste fresh,0
"It lacked flavor, seemed undercooked, and dry.",lack flavor seem undercooked dry,lack flavor seem undercooked dry,0
The scallop dish is quite appalling for value as well.,scallop dish quite appal value well,scallop dish quite appal value well,0
The place was not clean and the food oh so stale!,place not clean food oh stale,place not clean food oh stale,0
The food had a delightful and satisfying flavor.,food delightful satisfying flavor,food delightful satisfying flavor,1
The restaurant had unclean and sticky menus.,restaurant unclean sticky menu,restaurant unclean sticky menu,0
The staff had poor communication and ignored requests.,staff poor communication ignore request,staff poor communication ignore request,0
"In fact I'm going to round up to 4 stars, just because she was so awesome.",fact im go round star awesome,fact im go round star awesome,1
Owner's are really great people.!,owner really great people,owner really great people,1
The Greek dressing was very creamy and flavorful.,greek dressing creamy flavorful,greek dressing creamy flavorful,1
My friend loved the salmon tartar.,friend love salmon tartar,friend love salmon tartar,1
"The food was delicious, our bartender was attentive and personable AND we got a great deal!",food delicious bartender attentive personable get great deal,food delicious bartender attentive personable get great deal,1
The dishes were served with fresh and fluffy bread.,dish serve fresh fluffy bread,dish serve fresh fluffy bread,1
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",delicious nyc bagel good selection cream cheese real lox caper even,delicious nyc bagel good selection cream cheese real lox caper even,1
The staff was unhelpful and unaccommodating.,staff unhelpful unaccommodating,staff unhelpful unaccommodating,0
All I have to say is the food was amazing!!!,say food amaze,say food amaze,1
"The ambiance here did not feel like a buffet setting, but more of a douchey indoor garden for tea and biscuits.",ambiance not feel like buffet set douchey indoor garden tea biscuit,ambiance not feel like buffet set douchey indoor garden tea biscuit,0
"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",bar vega not ever recall charge tap water,bar vega not ever recall charge tap water,0
I got food poisoning from their food.,get food poison food,get food poison food,0
The black eyed peas and sweet potatoes... UNREAL!,black eyed pea sweet potato unreal,black eyed pea sweet potato unreal,1
The wait staff was inattentive and forgetful.,wait staff inattentive forgetful,wait staff inattentive forgetful,0
"As for the service, I thought it was good.",service think good,service think good,1
"The service was not up to par, either.",service not par either,service not par either,0
We definately enjoyed ourselves.,definately enjoy,definately enjoy,1
Kind of hard to mess up a steak but they did.,kind hard mess steak,kind hard mess steak,0
"Great food and service, huge portions and they give a military discount.",great food service huge portion give military discount,great food service huge portion give military discount,1
I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.,never bland food surprise consider article read focus much spice flavor,never bland food surprise consider article read focus much spice flavor,0
The food had a mouthwatering and savory flavor.,food mouthwatering savory flavor,food mouthwatering savory flavor,1
My first visit to Hiro was a delight!,first visit hiro delight,first visit hiro delight,1
"The waiters were unprofessional, lacking proper etiquette.",waiter unprofessional lack proper etiquette,waiter unprofessional lack proper etiquette,0
"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",definitely worth venture strip pork belly return next time im vega,definitely worth venture strip pork belly return next time im vega,1
The restaurant had a lack of comfortable seating.,restaurant lack comfortable seating,restaurant lack comfortable seating,0
I just wanted to leave.,want leave,want leave,0
I've never been treated so bad.,ive never treat bad,ive never treat bad,0
Went for lunch - service was slow.,go lunch service slow,go lunch service slow,0
My sashimi was poor quality being soggy and tasteless.,sashimi poor quality soggy tasteless,sashimi poor quality soggy tasteless,0
The restaurant had dirty and unsanitary bathrooms.,restaurant dirty unsanitary bathroom,restaurant dirty unsanitary bathroom,0
I was disgusted because I was pretty sure that was human hair.,disgust pretty sure human hair,disgust pretty sure human hair,0
The food had a rich and flavorful taste.,food rich flavorful taste,food rich flavorful taste,1
"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.",whole experience underwhelming think well go ninja sushi next time,whole experience underwhelming think well go ninja sushi next time,0
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",side greek salad greek dressing tasty pita hummus refresh,side greek salad greek dressing tasty pita hummus refresh,1
"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",back good bbq light fare reasonable pricing tell public back old way,back good bbq light fare reasonable pricing tell public back old way,1
The portions were generous and left us completely satisfied.,portion generous leave completely satisfy,portion generous leave completely satisfy,1
the potatoes were great and so was the biscuit.,potato great biscuit,potato great biscuit,1
The waiters were attentive and efficient.,waiter attentive efficient,waiter attentive efficient,1
Never going back.,never go back,never go back,0
Best tater tots in the southwest.,best tater tot southwest,best tater tot southwest,1
"The wontons were thin, not thick and chewy, almost melt in your mouth.",wonton thin not thick chewy almost melt mouth,wonton thin not thick chewy almost melt mouth,1
The patio seating was very comfortable.,patio seating comfortable,patio seating comfortable,1
The staff was courteous and provided excellent service.,staff courteous provided excellent service,staff courteous provided excellent service,1
The food was overly salty and inedible.,food overly salty inedible,food overly salty inedible,0
Now I am getting angry and I want my damn pho.,get angry want damn pho,get angry want damn pho,0
"Try them in the airport to experience some tasty food and speedy, friendly service.",try airport experience tasty food speedy friendly service,try airport experience tasty food speedy friendly service,1
We sat another ten minutes and finally gave up and left.,sit another ten minute finally give leave,sit another ten minute finally give leave,0
"Come hungry, leave happy and stuffed!",come hungry leave happy stuff,come hungry leave happy stuff,1
The staff was inattentive and rarely checked on us.,staff inattentive rarely check,staff inattentive rarely check,0
did not like at all.,not like,not like,0
Ample portions and good prices.,ample portion good price,ample portion good price,1
The food had a rich and mouthwatering taste.,food rich mouthwatering taste,food rich mouthwatering taste,1
A good time!,good time,good time,1
I checked out this place a couple years ago and was not impressed.,check place couple year ago not impressed,check place couple year ago not impressed,0
The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!,server negligent need make feel unwelcome would not suggest place,server negligent need make feel unwelcome would not suggest place,0
"REAL sushi lovers, let's be honest - Yama is not that good.",real sushi lover let honest yama not good,real sushi lover let honest yama not good,0
There is nothing privileged about working/eating there.,nothing privileged workingeating,nothing privileged workingeating,0
"The portions were insufficient, not enough to satisfy hunger.",portion insufficient not enough satisfy hunger,portion insufficient not enough satisfy hunger,0
Favorite place in town for shawarrrrrrma!!!!!!,favorite place town shawarrrrrrma,favorite place town shawarrrrrrma,1
This place is two thumbs up....way up.,place two thumb upway,place two thumb upway,1
Food was really good and I got full petty fast.,food really good get full petty fast,food really good get full petty fast,1
The staff was welcoming and went the extra mile.,staff welcome go extra mile,staff welcome go extra mile,1
I found this place by accident and I could not be happier.,find place accident could not happy,find place accident could not happy,1
This place has a lot of promise but fails to deliver.,place lot promise fail deliver,place lot promise fail deliver,0
This place has it!,place,place,1
The classic Maine Lobster Roll was fantastic.,classic maine lobster roll fantastic,classic maine lobster roll fantastic,1
The restaurant had dirty dishes and stained silverware.,restaurant dirty dish stain silverware,restaurant dirty dish stain silverware,0
I had about two bites and refused to eat anymore.,two bite refuse eat anymore,two bite refuse eat anymore,0
"Third, the cheese on my friend's burger was cold.",third cheese friend burger cold,third cheese friend burger cold,0
The restaurant had a loud and disruptive atmosphere.,restaurant loud disruptive atmosphere,restaurant loud disruptive atmosphere,0
The staff was unresponsive and didn't address our concerns.,staff unresponsive not address concern,staff unresponsive not address concern,0
So good I am going to have to review this place twice - once hereas a tribute to the place and once as a tribute to an event held here last night.,good go review place twice hereas tribute place tribute event hold last night,good go review place twice hereas tribute place tribute event hold last night,1
I guess maybe we went on an off night but it was disgraceful.,guess maybe go night disgraceful,guess maybe go night disgraceful,0
As always the evening was wonderful and the food delicious!,always evening wonderful food delicious,always evening wonderful food delicious,1
I left with a stomach ache and felt sick the rest of the day.,leave stomach ache felt sick rest day,leave stomach ache felt sick rest day,0
The atmosphere here is fun.,atmosphere fun,atmosphere fun,1
The ambience is wonderful and there is music playing.,ambience wonderful music playing,ambience wonderful music playing,1
Things that went wrong: - They burned the saganaki.,thing go wrong burn saganaki,thing go wrong burn saganaki,0
The restaurant had unclean utensils and stained tablecloths.,restaurant unclean utensil stain tablecloth,restaurant unclean utensil stain tablecloth,0
The food had an odd and unpleasant taste.,food odd unpleasant taste,food odd unpleasant taste,0
"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",love mussel cook wine reduction duck tender potato dish delicious,love mussel cook wine reduction duck tender potato dish delicious,1
If there were zero stars I would give it zero stars.,zero star would give zero star,zero star would give zero star,0
The restaurant had a range of gluten-free and dairy-free options.,restaurant range glutenfree dairyfree option,restaurant range glutenfree dairyfree option,1
What a mistake that was!,mistake,mistake,0
The restaurant had a dull and uninviting ambiance.,restaurant dull uninviting ambiance,restaurant dull uninviting ambiance,0
The food had an appetizing and visually appealing presentation.,food appetizing visually appeal presentation,food appetizing visually appeal presentation,1
"The food was overpriced, not justifying the cost.",food overprice not justify cost,food overprice not justify cost,0
"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",ground right next table large smear beensteppedinandtrackedeverywhere pile green bird poop,ground right next table large smear beensteppedinandtrackedeverywhere pile green bird poop,0
"I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.",prove dead wrong sushi bar not quality great service fast food impeccable,prove dead wrong sushi bar not quality great service fast food impeccable,1
I'm not eating here!,im not eat,im not eat,0
The food had a perfect blend of flavors and textures.,food perfect blend flavor texture,food perfect blend flavor texture,1
My girlfriend's veal was very bad.,girlfriend veal bad,girlfriend veal bad,0
The jalapeno bacon is soooo good.,jalapeno bacon soooo good,jalapeno bacon soooo good,1
Best of luck to the rude and non-customer service focused new management.,best luck rude noncustomer service focus new management,best luck rude noncustomer service focus new management,0
The selection of food was not the best.,selection food not best,selection food not best,0
We were promptly greeted and seated.,promptly greet seat,promptly greet seat,1
I don't recommend unless your car breaks down in front of it and you are starving.,not recommend unless car break front starve,not recommend unless car break front starve,0
"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",lordy khao soi dish not miss curry lover,lordy khao soi dish not miss curry lover,1
And the red curry had so much bamboo shoots and wasn't very tasty to me.,red curry much bamboo shoot not tasty,red curry much bamboo shoot not tasty,0
The food was cooked to perfection and bursting with flavor.,food cook perfection bursting flavor,food cook perfection bursting flavor,1
The bathrooms are clean and the place itself is well decorated.,bathroom clean place well decorate,bathroom clean place well decorate,1
Food was delicious!,food delicious,food delicious,1
The waiters were unprofessional and lacked proper training.,waiter unprofessional lacked proper training,waiter unprofessional lacked proper training,0
The food was served with fresh and crusty bread.,food serve fresh crusty bread,food serve fresh crusty bread,1
Cooked to perfection and the service was impeccable.,cook perfection service impeccable,cook perfection service impeccable,1
The waiters were friendly and offered helpful suggestions.,waiter friendly offer helpful suggestion,waiter friendly offer helpful suggestion,1
They also have the best cheese crisp in town.,also best cheese crisp town,also best cheese crisp town,1
"I mean really, how do you get so famous for your fish and chips when it's so terrible!?!",mean really get famous fish chip terrible,mean really get famous fish chip terrible,0
The portions were meager and left us wanting more.,portion meager leave want,portion meager leave want,0
I hope this place sticks around.,hope place stick around,hope place stick around,1
The dishes were made with fresh and flavorful ingredients.,dish make fresh flavorful ingredient,dish make fresh flavorful ingredient,1
We had 7 at our table and the service was pretty fast.,table service pretty fast,table service pretty fast,1
"In an interesting part of town, this place is amazing.",interesting part town place amaze,interesting part town place amaze,1
The food was bursting with flavors and textures.,food burst flavor texture,food burst flavor texture,1
Both of the egg rolls were fantastic.,egg roll fantastic,egg roll fantastic,1
Great place fo take out or eat in.,great place fo take eat,great place fo take eat,1
Not good for the money.,not good money,not good money,0
The restaurant had a dull and uninviting atmosphere.,restaurant dull uninviting atmosphere,restaurant dull uninviting atmosphere,0
After the disappointing dinner we went elsewhere for dessert.,disappointing dinner go elsewhere dessert,disappointing dinner go elsewhere dessert,0
Last night was my second time dining here and I was so happy I decided to go back!,last night second time din happy decide go back,last night second time din happy decide go back,1
I liked the patio and the service was outstanding.,like patio service outstanding,like patio service outstanding,1
The restaurant had dirty tables and neglected cleanliness.,restaurant dirty table neglect cleanliness,restaurant dirty table neglect cleanliness,0
The restaurant had a dull and uninspiring ambiance.,restaurant dull uninspiring ambiance,restaurant dull uninspiring ambiance,0
The waiters were unprofessional and lacked basic etiquette.,waiter unprofessional lacked basic etiquette,waiter unprofessional lacked basic etiquette,0
"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",server fantastic find wife love roast garlic bone marrow add extra meal another marrow go,server fantastic find wife love roast garlic bone marrow add extra meal another marrow go,1
"the food is not tasty at all, not to say its ""real traditional Hunan style"".",food not tasty not say real traditional hunan style,food not tasty not say real traditional hunan style,0
The nachos are a MUST HAVE!,nacho must,nacho must,1
I really enjoyed eating here.,really enjoy eating,really enjoy eating,1
They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.,toro tartare cavier extraordinary like thinly sliced wagyu white truffle,toro tartare cavier extraordinary like thinly sliced wagyu white truffle,1
The restaurant had fast service and short wait times.,restaurant fast service short wait time,restaurant fast service short wait time,1
"The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either.",wife hat meal coconut shrimp friend really not enjoy meal either,wife hat meal coconut shrimp friend really not enjoy meal either,0
The waiters were disorganized and confused.,waiter disorganize confuse,waiter disorganize confuse,0
These are the nicest restaurant owners I've ever come across.,nice restaurant owner ive ever come across,nice restaurant owner ive ever come across,1
After two I felt disgusting.,two felt disgust,two felt disgust,0
The staff was attentive and provided outstanding hospitality.,staff attentive provide outstanding hospitality,staff attentive provide outstanding hospitality,1
Server did a great job handling our large rowdy table.,server great job handle large rowdy table,server great job handle large rowdy table,1
The restaurant had prompt service and short wait times.,restaurant prompt service short wait time,restaurant prompt service short wait time,1
the spaghetti is nothing special whatsoever.,spaghetti nothing special whatsoever,spaghetti nothing special whatsoever,0
DELICIOUS!!.,delicious,delicious,1
The restaurant had dirty utensils and stained tablecloths.,restaurant dirty utensil stain tablecloth,restaurant dirty utensil stain tablecloth,0
Always a pleasure dealing with him.,always pleasure deal,always pleasure deal,1
The dishes were served with warm and freshly baked bread.,dish serve warm freshly bake bread,dish serve warm freshly bake bread,1
No one at the table thought the food was above average or worth the wait that we had for it.,no one table think food average worth wait,no one table think food average worth wait,0
"Not to mention the combination of pears, almonds and bacon is a big winner!",not mention combination pear almond bacon big winner,not mention combination pear almond bacon big winner,1
The restaurant had a dirty and unsanitary dining area.,restaurant dirty unsanitary dining area,restaurant dirty unsanitary dining area,0
But then they came back cold.,come back cold,come back cold,0
The staff was unfriendly and lacked basic manners.,staff unfriendly lacked basic manner,staff unfriendly lacked basic manner,0
The restaurant had clean and well-maintained restrooms.,restaurant clean wellmaintained restroom,restaurant clean wellmaintained restroom,1
"Not a weekly haunt, but definitely a place to come back to every once in a while.",not weekly haunt definitely place come back every,not weekly haunt definitely place come back every,1
We enjoy their pizza and brunch.,enjoy pizza brunch,enjoy pizza brunch,1
Disappointing experience.,disappointing experience,disappointing experience,0
Everything was fresh and delicious!,everything fresh delicious,everything fresh delicious,1
The servers had a thorough understanding of the menu.,server thorough understanding menu,server thorough understanding menu,1
Some highlights : Great quality nigiri here!,highlight great quality nigiri,highlight great quality nigiri,1
"for 40 bucks a head, i really expect better food.",buck head really expect good food,buck head really expect good food,0
Would not recommend to others.,would not recommend others,would not recommend others,0
"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.",get sit fairly fast end wait minute place order another minute food arrive,get sit fairly fast end wait minute place order another minute food arrive,0
"The meat was pretty dry, I had the sliced brisket and pulled pork.",meat pretty dry slice brisket pull pork,meat pretty dry slice brisket pull pork,0
There was a warm feeling with the service and I felt like their guest for a special treat.,warm feeling service felt like guest special treat,warm feeling service felt like guest special treat,1
The fries were great too.,fry great,fry great,1
The dishes were beautifully presented and appetizing.,dish beautifully present appetizing,dish beautifully present appetizing,1
The restaurant had slow and unresponsive customer support.,restaurant slow unresponsive customer support,restaurant slow unresponsive customer support,0
The food had an enticing and visually appealing presentation.,food enticing visually appeal presentation,food enticing visually appeal presentation,1
Im in AZ all the time and now have my new spot.,im az time new spot,im az time new spot,1
"I really do recommend this place, you can go wrong with this donut place!",really recommend place go wrong donut place,really recommend place go wrong donut place,1
Not good by any stretch of the imagination.,not good stretch imagination,not good stretch imagination,0
The restaurant had prompt service and minimal wait times.,restaurant prompt service minimal wait time,restaurant prompt service minimal wait time,1
The staff was very attentive.,staff attentive,staff attentive,1
