Review,Liked
The staff lacked professionalism and manners.,0
"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",1
It was awesome.,1
The food was stale and seemed old.,0
The service was extremely slow and inattentive.,0
You cant go wrong with any of the food here.,1
Honeslty it didn't taste THAT fresh.,0
"It lacked flavor, seemed undercooked, and dry.",0
The scallop dish is quite appalling for value as well.,0
The place was not clean and the food oh so stale!,0
The food had a delightful and satisfying flavor.,1
The restaurant had unclean and sticky menus.,0
The staff had poor communication and ignored requests.,0
"In fact I'm going to round up to 4 stars, just because she was so awesome.",1
Owner's are really great people.!,1
The Greek dressing was very creamy and flavorful.,1
My friend loved the salmon tartar.,1
"The food was delicious, our bartender was attentive and personable AND we got a great deal!",1
The dishes were served with fresh and fluffy bread.,1
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1
The staff was unhelpful and unaccommodating.,0
All I have to say is the food was amazing!!!,1
"The ambiance here did not feel like a buffet setting, but more of a douchey indoor garden for tea and biscuits.",0
"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0
I got food poisoning from their food.,0
The black eyed peas and sweet potatoes... UNREAL!,1
The wait staff was inattentive and forgetful.,0
"As for the service, I thought it was good.",1
"The service was not up to par, either.",0
We definately enjoyed ourselves.,1
Kind of hard to mess up a steak but they did.,0
"Great food and service, huge portions and they give a military discount.",1
I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.,0
The food had a mouthwatering and savory flavor.,1
My first visit to Hiro was a delight!,1
"The waiters were unprofessional, lacking proper etiquette.",0
"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1
The restaurant had a lack of comfortable seating.,0
I just wanted to leave.,0
I've never been treated so bad.,0
Went for lunch - service was slow.,0
My sashimi was poor quality being soggy and tasteless.,0
The restaurant had dirty and unsanitary bathrooms.,0
I was disgusted because I was pretty sure that was human hair.,0
The food had a rich and flavorful taste.,1
"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.",0
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1
"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",1
The portions were generous and left us completely satisfied.,1
the potatoes were great and so was the biscuit.,1
The waiters were attentive and efficient.,1
Never going back.,0
Best tater tots in the southwest.,1
"The wontons were thin, not thick and chewy, almost melt in your mouth.",1
The patio seating was very comfortable.,1
The staff was courteous and provided excellent service.,1
The food was overly salty and inedible.,0
Now I am getting angry and I want my damn pho.,0
"Try them in the airport to experience some tasty food and speedy, friendly service.",1
We sat another ten minutes and finally gave up and left.,0
"Come hungry, leave happy and stuffed!",1
The staff was inattentive and rarely checked on us.,0
did not like at all.,0
Ample portions and good prices.,1
The food had a rich and mouthwatering taste.,1
A good time!,1
I checked out this place a couple years ago and was not impressed.,0
The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!,0
"REAL sushi lovers, let's be honest - Yama is not that good.",0
There is nothing privileged about working/eating there.,0
"The portions were insufficient, not enough to satisfy hunger.",0
Favorite place in town for shawarrrrrrma!!!!!!,1
This place is two thumbs up....way up.,1
Food was really good and I got full petty fast.,1
The staff was welcoming and went the extra mile.,1
I found this place by accident and I could not be happier.,1
This place has a lot of promise but fails to deliver.,0
This place has it!,1
The classic Maine Lobster Roll was fantastic.,1
The restaurant had dirty dishes and stained silverware.,0
I had about two bites and refused to eat anymore.,0
"Third, the cheese on my friend's burger was cold.",0
The restaurant had a loud and disruptive atmosphere.,0
The staff was unresponsive and didn't address our concerns.,0
So good I am going to have to review this place twice - once hereas a tribute to the place and once as a tribute to an event held here last night.,1
I guess maybe we went on an off night but it was disgraceful.,0
As always the evening was wonderful and the food delicious!,1
I left with a stomach ache and felt sick the rest of the day.,0
The atmosphere here is fun.,1
The ambience is wonderful and there is music playing.,1
Things that went wrong: - They burned the saganaki.,0
The restaurant had unclean utensils and stained tablecloths.,0
The food had an odd and unpleasant taste.,0
"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1
If there were zero stars I would give it zero stars.,0
The restaurant had a range of gluten-free and dairy-free options.,1
What a mistake that was!,0
The restaurant had a dull and uninviting ambiance.,0
The food had an appetizing and visually appealing presentation.,1
"The food was overpriced, not justifying the cost.",0
"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.",0
"I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.",1
I'm not eating here!,0
The food had a perfect blend of flavors and textures.,1
My girlfriend's veal was very bad.,0
The jalapeno bacon is soooo good.,1
Best of luck to the rude and non-customer service focused new management.,0
The selection of food was not the best.,0
We were promptly greeted and seated.,1
I don't recommend unless your car breaks down in front of it and you are starving.,0
"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",1
And the red curry had so much bamboo shoots and wasn't very tasty to me.,0
The food was cooked to perfection and bursting with flavor.,1
The bathrooms are clean and the place itself is well decorated.,1
Food was delicious!,1
The waiters were unprofessional and lacked proper training.,0
The food was served with fresh and crusty bread.,1
Cooked to perfection and the service was impeccable.,1
The waiters were friendly and offered helpful suggestions.,1
They also have the best cheese crisp in town.,1
"I mean really, how do you get so famous for your fish and chips when it's so terrible!?!",0
The portions were meager and left us wanting more.,0
I hope this place sticks around.,1
The dishes were made with fresh and flavorful ingredients.,1
We had 7 at our table and the service was pretty fast.,1
"In an interesting part of town, this place is amazing.",1
The food was bursting with flavors and textures.,1
Both of the egg rolls were fantastic.,1
Great place fo take out or eat in.,1
Not good for the money.,0
The restaurant had a dull and uninviting atmosphere.,0
After the disappointing dinner we went elsewhere for dessert.,0
Last night was my second time dining here and I was so happy I decided to go back!,1
I liked the patio and the service was outstanding.,1
The restaurant had dirty tables and neglected cleanliness.,0
The restaurant had a dull and uninspiring ambiance.,0
The waiters were unprofessional and lacked basic etiquette.,0
"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",1
"the food is not tasty at all, not to say its ""real traditional Hunan style"".",0
The nachos are a MUST HAVE!,1
I really enjoyed eating here.,1
They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.,1
The restaurant had fast service and short wait times.,1
"The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either.",0
The waiters were disorganized and confused.,0
These are the nicest restaurant owners I've ever come across.,1
After two I felt disgusting.,0
The staff was attentive and provided outstanding hospitality.,1
Server did a great job handling our large rowdy table.,1
The restaurant had prompt service and short wait times.,1
the spaghetti is nothing special whatsoever.,0
DELICIOUS!!.,1
The restaurant had dirty utensils and stained tablecloths.,0
Always a pleasure dealing with him.,1
The dishes were served with warm and freshly baked bread.,1
No one at the table thought the food was above average or worth the wait that we had for it.,0
"Not to mention the combination of pears, almonds and bacon is a big winner!",1
The restaurant had a dirty and unsanitary dining area.,0
But then they came back cold.,0
The staff was unfriendly and lacked basic manners.,0
The restaurant had clean and well-maintained restrooms.,1
"Not a weekly haunt, but definitely a place to come back to every once in a while.",1
We enjoy their pizza and brunch.,1
Disappointing experience.,0
Everything was fresh and delicious!,1
The servers had a thorough understanding of the menu.,1
Some highlights : Great quality nigiri here!,1
"for 40 bucks a head, i really expect better food.",0
Would not recommend to others.,0
"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.",0
"The meat was pretty dry, I had the sliced brisket and pulled pork.",0
There was a warm feeling with the service and I felt like their guest for a special treat.,1
The fries were great too.,1
The dishes were beautifully presented and appetizing.,1
The restaurant had slow and unresponsive customer support.,0
The food had an enticing and visually appealing presentation.,1
Im in AZ all the time and now have my new spot.,1
"I really do recommend this place, you can go wrong with this donut place!",1
Not good by any stretch of the imagination.,0
The restaurant had prompt service and minimal wait times.,1
The staff was very attentive.,1
"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",1
The restaurant had a lack of healthy options.,0
"I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat.",0
Waitress was sweet and funny.,1
The dishes were served with stale bread.,0
Ryan's Bar is definitely one Edinburgh establishment I won't be revisiting.,0
The portions were insufficient and left us wanting more.,0
This greedy corporation will NEVER see another dime from me!,0
The dishes were overly greasy and oily.,0
"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0
The menu options were limited and uninspiring.,0
We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.,1
This wonderful experience made this place a must-stop whenever we are in town again.,1
Generous portions and great taste.,1
The staff was friendly and attentive to details.,1
The food had a strange and unappetizing appearance.,0
The restaurant had a variety of vegetarian options.,1
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1
Nice ambiance.,1
What a great double cheeseburger!,1
"Host staff were, for lack of a better word, BITCHES!",0
"However, there was so much garlic in the fondue, it was barely edible.",0
"Same evening, him and I are both drastically sick.",0
"The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.",1
"Oh this is such a thing of beauty, this restaurant.",1
"The sangria was about half of a glass wine full and was $12, ridiculous.",0
The restaurant provided exceptional customer service.,1
WAAAAAAyyyyyyyyyy over rated is all I am saying.,0
The restaurant had quick service and short wait times.,1
The food lacked quality and freshness.,0
"It was so bad, I had lost the heart to finish it.",0
"Service is quick and even ""to go"" orders are just like we like it!",1
Fantastic food!,1
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0
The portions were skimpy and left us feeling unsatisfied.,0
Worst food/service I've had in a while.,0
The only thing I wasn't too crazy about was their guacamole as I don't like it puréed.,0
Service is quick and friendly.,1
This place is awesome if you want something light and healthy during the summer.,1
My ribeye steak was cooked perfectly and had great mesquite flavor.,1
The restaurant had a calm and peaceful ambiance.,1
The restaurant had a reasonable waiting list.,1
"Cute, quaint, simple, honest.",1
"It was extremely ""crumby"" and pretty tasteless.",0
The food was served cold and unappetizing.,0
"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1
The restaurant had rude and unhelpful staff.,0
Fantastic service here.,1
"Good service, very clean, and inexpensive, to boot!",1
The waiters were inattentive and rarely checked on us.,0
Waitress was good though!,1
The croutons also taste homemade which is an extra plus.,1
Will be back again!,1
"OMG, the food was delicioso!",1
The dishes had the right amount of seasoning and flavor.,1
By far the BEST cheesecurds we have ever had!,1
The portion was huge!,1
One of the few places in Phoenix that I would definately go back to again .,1
"The restaurant had limited choices for vegetarians, lacking variety.",0
Each day of the week they have a different deal and it's all so delicious!,1
It is PERFECT for a sit-down family meal or get together with a few friends.,1
"All in all, I can assure you I'll be back.",1
The menu had so much good stuff on it i could not decide!,1
Overall I wasn't very impressed with Noca.,0
"If you're not familiar, check it out.",1
The waiters were attentive and provided excellent recommendations.,1
The restaurant had no vegetarian options.,0
The servers had an excellent knowledge of the menu.,1
The restaurant had poor lighting.,0
If you stay in Vegas you must get breakfast here at least once.,1
Highly recommended.,1
The food had a rich and delectable flavor.,1
"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0
The cashier was friendly and even brought the food out to me.,1
The restaurant had a charming and inviting ambiance.,1
The restaurant had a limited selection of desserts.,0
The restaurant had poor air conditioning.,0
"Our waiter was very attentive, friendly, and informative.",1
The service was efficient and well-organized.,1
"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",0
"He also came back to check on us regularly, excellent service.",1
Service is also cute.,1
"After 20 minutes wait, I got a table.",0
I give it 2 thumbs down,0
"The staff are great, the ambiance is great.",1
Highly unprofessional and rude to a loyal patron!,0
Won't ever go here again.,0
Penne vodka excellent!,1
I could care less... The interior is just beautiful.,1
"I'd rather eat airline food, seriously.",0
The dishes were crafted with fresh and flavorful ingredients.,1
The restaurant had a long wait time for food.,0
The selection on the menu was great and so were the prices.,1
"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",1
The dishes were served with warm and fresh bread.,1
The staff was disinterested and lacked enthusiasm.,0
"The service was terrible, food was mediocre.",0
The food was excellent and service was very good.,1
"Thus far, have only visited twice and the food was absolutely delicious each time.",1
The staff was disorganized and made errors with orders.,0
"Unfortunately, it only set us up for disapppointment with our entrees.",0
"Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil.",0
The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,0
Any grandmother can make a roasted chicken better than this one.,0
We loved the place.,1
The servers were friendly and attentive to details.,1
As a sushi lover avoid this place by all means.,0
"It was a bit too sweet, not really spicy enough, and lacked flavor.",0
The restaurant had slow service and frequent mistakes.,0
The restaurant had a long waiting list.,0
Wow... Loved this place.,1
Awful service.,0
The food was tasteless and lacked any seasoning.,0
The food was underwhelming and did not meet our expectations.,0
"If it were possible to give them zero stars, they'd have it.",0
I'm not impressed with the concept or the food.,0
Join the club and get awesome offers via email.,1
"Their menu is diverse, and reasonably priced.",1
"Anyways, The food was definitely not filling at all, and for the price you pay you should expect more.",0
"As for the service: I'm a fan, because it's quick and you're being served by some nice folks.",1
The dishes were too spicy and overwhelming.,0
The staff was friendly and helpful.,1
The ambiance was incredible.,1
"I always order from the vegetarian menu during dinner, which has a wide array of options to choose from.",1
"Both of them were truly unbelievably good, and I am so glad we went back.",1
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,0
The portions were ample and left us feeling completely satisfied.,1
The portions were ample and left us feeling satisfied.,1
The restaurant had an inviting and cozy atmosphere.,1
I love the Pho and the spring rolls oh so yummy you have to try.,1
The yellowtail carpaccio was melt in your mouth fresh.,1
Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!,1
"For sushi on the Strip, this is the place to go.",1
The dishes were accompanied by warm and fresh bread.,1
The restaurant had efficient service and minimal waiting times.,1
"Frozen pucks of disgust, with some of the worst people behind the register.",0
The restaurant had slow service and lengthy delays.,0
Service is perfect and the family atmosphere is nice to see.,1
"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.",0
The food was tasteless and lacked any distinctive taste.,0
"Now the burgers aren't as good, the pizza which used to be amazing is doughy and flavorless.",0
Don't waste your time here.,0
Total brunch fail.,0
The restaurant had dirty and sticky floors.,0
Hands down my favorite Italian restaurant!,1
"When I opened the sandwich, I was impressed, but not in a good way.",0
The waiters were rude and didn't provide good service.,0
Mediocre food.,0
Terrible service!,0
Check it out.,1
The food was a gastronomic delight with its exquisite flavors.,1
The restaurant had a range of gluten-free options.,1
The food was poorly prepared and lacked proper cooking.,0
The restaurant had limited menu options and poor variety.,0
Ordered burger rare came in we'll done.,0
Best breakfast buffet!!!,1
The restaurant had a short wait time for a table.,1
"Loved it...friendly servers, great food, wonderful and imaginative menu.",1
"I love the owner/chef, his one authentic Japanese cool dude!",1
"The waiters were inattentive, neglecting our requests.",0
I was VERY disappointed!!,0
The restaurant had comfortable and elegant decor.,1
My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.,1
"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",1
Extremely Tasty!,1
"The restaurant had poor lighting, making it difficult to see.",0
Best fish I've ever had in my life!,1
"I'm so happy to be here!!!""",1
I had the opportunity today to sample your amazing pizzas!,1
The food was tasteless and bland.,0
The food was a true delight with its exquisite taste.,1
The management was organized and professional.,1
The staff was unprofessional and lacked proper training.,0
This place lacked style!!,0
I had the chicken Pho and it tasted very bland.,0
AN HOUR... seriously?,0
Your staff spends more time talking to themselves than me.,0
The restaurant had poor customer service.,0
Just as good as when I had it more than a year ago!,1
The food had a visually appealing and enticing presentation.,1
Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.,1
The portions were meager and unsatisfying.,0
"Love the margaritas, too!",1
The waiters were attentive and provided excellent suggestions.,1
"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",1
What I really like there is the crepe station.,1
The waiters were friendly and attentive.,1
The restaurant had uncomfortable seating and limited space.,0
The cashew cream sauce was bland and the vegetables were undercooked.,0
At least think to refill my water before I struggle to wave you over for 10 minutes.,0
The waiters were attentive and provided outstanding recommendations.,1
The restaurant had an extensive wine selection.,1
This is a good joint.,1
They also now serve Indian naan bread with hummus and some spicy pine nut sauce that was out of this world.,1
The waiters were attentive and provided exceptional service.,1
"What SHOULD have been a hilarious, yummy Christmas Eve dinner to remember was the biggest fail of the entire trip for us.",0
This place should honestly be blown up.,0
The staff was unfriendly and unhelpful.,0
I highly recommend this place.,1
I did not expect this to be so good!,1
"not even a ""hello, we will be right with you.""",0
The staff was rude and unprofessional.,0
"It was either too cold, not enough flavor or just bad.",0
"The restaurant had a noisy environment, making conversation difficult.",0
The sweet potato tots were good but the onion rings were perfection or as close as I have had.,1
Horrible - don't waste your time and money.,0
"However, my recent experience at this particular location was not so good.",0
This is some seriously good pizza and I'm an expert/connisseur on the topic.,1
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0
The only redeeming quality of the restaurant was that it was very inexpensive.,1
The pancake was also really good and pretty large at that.,1
This is the place where I first had pho and it was amazing!!,1
It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.,0
The food is very good for your typical bar food.,1
The food had a mouthwatering and delightful flavor.,1
"This place is overpriced, not consistent with their boba, and it really is OVERPRICED!",0
The portions were generous and left us satisfied.,1
The restaurant accommodated dietary restrictions.,1
We asked for the bill to leave without eating and they didn't bring that either.,0
The waiters were untrained and made mistakes with orders.,0
The food was a culinary masterpiece with its exquisite flavors.,1
Nargile - I think you are great.,1
The staff was unresponsive to customer complaints.,0
"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0
This is a GREAT place to eat!,1
"Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!",0
A great way to finish a great.,1
Will not be back.,0
The restaurant had clean and hygienic seating areas.,1
The restaurant had uncomfortable and worn-out seating.,0
mouthwatering and delightful flavor.,1
Soggy and not good.,0
The menu options were diverse and enticing.,1
The food had a mouthwatering and delicious flavor.,1
"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1
The restaurant had dim and inadequate lighting.,0
The block was amazing.,1
The restaurant had clean and well-equipped restrooms.,1
The restaurant had clean and well-organized seating arrangements.,1
"I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!",1
Only Pros : Large seating area/ Nice bar area/ Great simple drink menu/ The BEST brick oven pizza with homemade dough!,1
Best tacos in town by far!!,1
The portions were small and not satisfying.,0
The food was bland and lacked flavor.,0
I consider this theft.,0
"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",0
The restaurant had clean and well-maintained bathrooms.,1
"Best Buffet in town, for the price you cannot beat it.",1
I loved the bacon wrapped dates.,1
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0
The service was outshining & I definitely recommend the Halibut.,1
The food was overpriced for the quality.,0
I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,0
"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.",1
My boyfriend and i sat at the bar and had a completely delightful experience.,1
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1
The ambiance was cozy and inviting.,1
The food was perfectly seasoned and delightful.,1
The Burrittos Blah!,0
The food was greasy and left me feeling sick.,0
"Insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it.",0
We loved the biscuits!!!,1
This was my first time and I can't wait until the next.,1
The place was fairly clean but the food simply wasn't worth it.,0
Great food and great service in a clean and friendly setting.,1
"This place is like Chipotle, but BETTER.",1
Left very frustrated.,0
Nicest Chinese restaurant I've been in a while.,1
If you want a sandwich just go to any Firehouse!!!!!,1
A FLY was in my apple juice.. A FLY!!!!!!!!,0
The steaks are all well trimmed and also perfectly cooked.,1
Service was very prompt.,1
The waiters were unprofessional and lacked proper manners.,0
"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.",1
They were excellent.,1
"I have eaten here multiple times, and each time the food was delicious.",1
The restaurant had limited seating capacity.,0
The bartender was also nice.,1
"Lastly, the mozzarella sticks, they were the best thing we ordered.",1
"The food is about on par with Denny's, which is to say, not good at all.",0
The service was extremely slow.,0
I had to wait over 30 minutes to get my drink and longer to get 2 arepas.,0
The flair bartenders are absolutely amazing!,1
The management was disorganized and inefficient.,0
The portions were inconsistent and lacked value.,0
The food had a mouthwatering and delightful taste.,1
The utensils and tableware were clean and polished.,1
I really enjoyed Crema Café before they expanded. I even told friends they had the BEST breakfast.,1
"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",0
The kids play area is NASTY!,0
And the beans and rice were mediocre at best.,0
"Overall, I was very disappointed with the quality of food at Bouchon.",0
I will come back here every time I'm in Vegas.,1
Great time - family dinner on a Sunday night.,1
The staff was apathetic and lacked enthusiasm.,0
"Not much flavor to them, and very poorly constructed.",0
We'll never go again.,0
All of the tapas dishes were delicious!,1
They have great dinners.,1
How awesome is that.,1
The restaurant had a tempting selection of desserts.,1
The service here is fair at best.,0
The waiters were inattentive and neglectful.,0
So they performed.,1
Great food and awesome service!,1
The portions were small and left us wanting more.,0
Food was below average.,0
"One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn't expect more tip than that.",1
"The food was great as always, compliments to the chef.",1
"Also, I feel like the chips are bought, not made in house.",0
The manager was the worst.,0
We won't be going back.,0
The restaurant had unclean tablecloths and utensils.,0
It wasn't busy at all and now we know why.,0
The dishes were served on chipped and dirty plates.,0
"The food was poorly seasoned, lacking in taste and spices.",0
The food was outstanding and the prices were very reasonable.,1
The wait staff appeared uninterested and inattentive.,0
The restaurant had comfortable and stylish decor.,1
The portions were skimpy and left us unsatisfied.,0
"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.",1
"Great steak, great sides, great wine, amazing desserts.",1
The food was underseasoned and lacked taste.,0
The restaurant had a variety of gluten-free options.,1
Everything was gross.,0
The dishes were poorly presented and unappetizing.,0
The food lacked freshness and tasted old.,0
It was a pale color instead of nice and char and has NO flavor.,0
Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!,1
It was delicious!!!,1
Don't do it!!!!,0
Will not be back!,0
The restaurant had a range of gluten-free and vegan options.,1
The staff was friendly and provided excellent hospitality.,1
The food was overpriced and didn't justify the cost.,0
It is worth the drive.,1
The portions were skimpy and left us hungry.,0
The sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well.,1
Couldn't ask for a more satisfying meal.,1
"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",1
The drinks were watered down.,0
Great pork sandwich.,1
